Request_ID,Department,Request_Type,Priority,Channel,First_Response_Time,Number_of_Interactions,Escalated,Resolution_Time,Satisfaction_Score,Status
ADM00001,Finance,Password Reset,Medium,Portal,5.68,4,0,16.54,3,Resolved
ADM00002,Academic Affairs,Payment Issue,Low,Email,7.57,4,0,45.87,3,Resolved
ADM00003,Library,Transcript Request,Medium,Portal,3.29,5,1,30.52,4,Escalated
ADM00004,IT,Application Issue,Medium,Email,4.89,2,0,27.98,3,Resolved
ADM00005,Registrar,Exam or Assessment Issue,Low,Phone,15.47,8,0,49.43,1,Resolved
ADM00006,Registrar,Exam or Assessment Issue,Low,Email,12.34,2,1,43.35,4,Resolved
ADM00007,Registrar,Fee Statement,Low,Phone,15.94,6,0,47.44,3,Resolved
ADM00008,Student Affairs,Accommodation Request,High,Phone,3.67,2,0,27.12,4,Resolved
ADM00009,IT,Portal Access,Medium,Phone,7.99,2,0,13.53,3,Resolved
ADM00010,IT,Course Registration,Medium,Phone,5.21,2,0,19.71,4,Resolved
ADM00011,Registrar,Fee Statement,Medium,Email,7.74,2,0,31.4,3,Resolved
ADM00012,Academic Affairs,Graduation Clearance,Medium,Email,3.13,10,0,45.29,2,Resolved
ADM00013,Student Affairs,Payment Issue,Medium,Portal,6.1,6,0,42.58,3,Resolved
ADM00014,Registrar,Accommodation Request,Medium,Helpdesk,2.58,5,0,38.63,3,Resolved
ADM00015,Registrar,Exam or Assessment Issue,Medium,Portal,3.95,4,0,32.92,3,Resolved
ADM00016,Registrar,Portal Access,High,Phone,3.12,4,0,8.9,3,Resolved
ADM00017,Finance,Payment Issue,Medium,Helpdesk,7.92,5,1,55.8,2,Resolved
ADM00018,Admissions,Course Registration,Medium,Helpdesk,2.76,6,0,25.82,2,Resolved
ADM00019,Admissions,Library Issue,Medium,Portal,3.66,3,0,17.16,4,Resolved
ADM00020,Finance,Exam or Assessment Issue,Low,Portal,23.84,3,0,52.23,1,Resolved
ADM00021,IT,Transcript Request,High,Helpdesk,2.02,3,0,22.61,4,Resolved
ADM00022,Registrar,Exam or Assessment Issue,High,Walk-in,1.78,5,0,29.23,3,Pending
ADM00023,Finance,Exam or Assessment Issue,Medium,Phone,2.68,4,0,25.79,3,Resolved
ADM00024,Finance,Library Issue,Medium,Phone,7.56,4,0,25.28,4,Resolved
ADM00025,Admissions,Portal Access,High,Phone,2.79,3,0,10.92,3,Pending
ADM00026,Library,Library Issue,Medium,Portal,3.26,4,0,18.26,5,Resolved
ADM00027,Registrar,Portal Access,Medium,Walk-in,7.06,3,0,15.04,4,Resolved
ADM00028,Admissions,Application Issue,Medium,Phone,6.21,3,1,39.86,2,Escalated
ADM00029,IT,Application Issue,High,Email,3.04,3,0,30.42,4,Resolved
ADM00030,Registrar,Student ID Issue,High,Email,4.98,4,1,26.51,3,Escalated
ADM00031,IT,Student ID Issue,Medium,Helpdesk,2.23,4,0,16.34,4,Resolved
ADM00032,Registrar,Exam or Assessment Issue,Medium,Phone,9.32,8,1,48.72,2,Escalated
ADM00033,Registrar,Library Issue,Medium,Portal,8.74,5,0,20.0,5,Resolved
ADM00034,Academic Affairs,Password Reset,High,Email,2.37,1,0,3.69,5,Resolved
ADM00035,Academic Affairs,Library Issue,Low,Phone,21.62,7,0,33.08,2,Resolved
ADM00036,Library,Graduation Clearance,High,Email,3.42,7,0,42.34,3,Resolved
ADM00037,Finance,Library Issue,Medium,Portal,9.11,2,0,16.77,3,Resolved
ADM00038,Registrar,Password Reset,High,Phone,3.18,5,0,11.63,4,Resolved
ADM00039,IT,Transcript Request,Medium,Portal,3.73,6,0,26.44,2,Resolved
